DATE,age,bmr,body_fat,gender,height,m_active_time,m_calories,m_distance,m_inactive_time,m_lcat,m_lcit,m_steps,m_total_calories,m_workout_count,m_workout_time,n_asleep_time,n_awake,n_awake_time,n_awakenings,n_bedtime,n_count,n_deep,n_duration,n_light,n_quality,n_rem,o_count,o_mood,s_asleep_time,s_awake,s_awake_time,s_awakenings,s_bedtime,s_count,s_deep,s_duration,s_light,s_quality,s_rem,weight
20130913,27.698630136986303,1773.0819157594522,,0,1.778,6997.0,528.236998171,10235.0,34140.0,1115.0,8220.0,13082.0,2301.3189139304523,0.0,0.0,,,,,,,,,,,,,,3959.0,6858.0,26722.0,1.0,322.0,1.0,12680.0,20540.0,7860.0,75.0,,73.0283
20130914,27.7013698630137,1773.063408910137,,0,1.778,845.0,86.3179998919,1479.0,40080.0,293.0,6360.0,1735.0,1859.381408802037,0.0,0.0,61199.0,992.0,62015.0,0.0,60215.0,1.0,853.0,853.0,0.0,2.0,,,,7259.0,1794.0,36246.0,2.0,6846.0,1.0,14040.0,27725.0,13685.0,90.0,,73.0283
20130915,27.704109589041096,1773.044902060822,,0,1.778,564.0,48.0160003603,888.0,41520.0,128.0,12960.0,1099.0,1821.0609024211221,0.0,0.0,,,,,,,,,,,,,,7619.0,3789.0,35031.0,0.0,3831.0,1.0,7382.0,27685.0,20303.0,75.0,,73.0283
20130916,27.706849315068492,1773.026395211507,,0,1.778,6751.0,593.481000245,10967.0,32580.0,1232.0,5760.0,13410.0,2366.507395456507,0.0,0.0,,,,,,,,,,,,,,5699.0,2748.0,31992.0,0.0,3192.0,1.0,10981.0,26280.0,15299.0,81.0,,73.0283
20130917,27.70958904109589,1773.0078883621918,,0,1.778,6677.0,597.02899947,10907.0,30000.0,1150.0,4560.0,13314.0,2370.036887832192,0.0,0.0,,,,,,,,,,,,,,7559.0,2963.0,32377.0,1.0,5977.0,1.0,7260.0,24240.0,16980.0,68.0,,73.0283
20130918,27.71232876712329,1772.989381512877,,0,1.778,7088.0,599.691999927,11286.0,33480.0,2150.0,5040.0,13890.0,2372.681381439877,0.0,0.0,61499.0,1003.0,62304.0,0.0,60504.0,1.0,847.0,847.0,0.0,2.0,,,,8279.0,5019.0,27062.0,0.0,5462.0,1.0,10681.0,18780.0,8099.0,64.0,,73.0283
20130919,27.715068493150685,1772.9708746635617,,0,1.778,6012.0,512.963001549,9725.0,33120.0,980.0,10260.0,11912.0,2285.9338762125617,0.0,0.0,61079.0,719.0,62168.0,0.0,60368.0,1.0,1150.0,1150.0,0.0,3.0,,,,10199.0,4074.0,30729.0,0.0,6129.0,1.0,6480.0,20661.0,14181.0,58.0,,73.0283
20130920,27.71780821917808,1772.9523678142466,,0,1.778,11394.0,978.272000007,18320.0,28080.0,4442.0,6900.0,22559.0,2751.2243678212467,0.0,0.0,,,,,,,,,,,,,,6059.0,1081.0,11900.0,0.0,5000.0,1.0,4680.0,6039.0,1359.0,23.0,,73.0283
20130921,27.720547945205478,1772.9338609649317,,0,1.778,2208.0,173.972999573,3397.0,36000.0,627.0,5880.0,4267.0,1946.9068605379316,0.0,0.0,24239.0,1295.0,33805.0,0.0,23905.0,1.0,4140.0,9780.0,5640.0,26.0,,,,-5941.0,2456.0,23884.0,2.0,-7016.0,1.0,14839.0,28458.0,13619.0,98.0,,73.0283
20130922,27.723287671232878,1772.9153541156165,,0,1.778,1875.0,136.895000413,2714.0,37680.0,322.0,5940.0,3476.0,1909.8103545286165,0.0,0.0,,,,,,,,,,,,,,3779.0,10589.0,33390.0,2.0,2790.0,1.0,7921.0,23941.0,16020.0,66.0,,73.0283
20130923,27.726027397260275,1772.8968472663014,,0,1.778,3960.0,324.584001966,6145.0,36240.0,589.0,8340.0,7632.0,2097.4808492323014,0.0,0.0,,,,,,,,,,,,,,1979.0,754.0,16266.0,0.0,1266.0,1.0,8642.0,14420.0,5778.0,53.0,,73.0283
20130924,27.72876712328767,1772.8783404169862,,0,1.778,3742.0,302.111000098,5843.0,37440.0,479.0,5760.0,7267.0,2074.989340514986,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0283
20130925,27.731506849315068,1772.8598335676713,,0,1.778,4972.0,416.228000112,7886.0,39180.0,1302.0,10320.0,9762.0,2189.0878336796713,0.0,0.0,,,,,,,,,,,,,,-4081.0,706.0,12914.0,0.0,-4786.0,1.0,9180.0,17071.0,7891.0,60.0,,73.0283
20130926,27.734246575342464,1772.8413267183562,,0,1.778,5818.0,493.49199906,9161.0,30540.0,746.0,9120.0,11363.0,2266.333325778356,0.0,0.0,,,,,,,,,,,,,,959.0,2393.0,28191.0,2.0,-9.0,1.0,11233.0,25936.0,14703.0,83.0,,73.0283
20130927,27.736986301369864,1772.8228198690413,,0,1.778,1497.0,117.833000541,2290.0,34560.0,197.0,5700.0,2876.0,1890.6558204100413,0.0,0.0,45779.0,284.0,47297.0,0.0,45497.0,1.0,540.0,1575.0,1035.0,4.0,,,,,,,,,,,,,,,73.0283
20130928,27.73972602739726,1772.8043130197261,,0,1.778,5876.0,436.406003177,8585.0,31260.0,960.0,4320.0,10959.0,2209.210316196726,0.0,0.0,,,,,,,,,,,,,,2759.0,1025.0,37479.0,1.0,2079.0,1.0,16576.0,34516.0,17940.0,100.0,,73.0283
20130929,27.742465753424657,1772.785806170411,,0,1.778,44628.0,448.236000389,8729.0,30300.0,777.0,5340.0,11216.0,2221.021806559411,1.0,43229.0,,,,,,,,,,,,,,4499.0,806.0,18454.0,0.0,3754.0,1.0,4380.0,14160.0,9780.0,42.0,,73.0283
20130930,27.745205479452054,1772.767299321096,,0,1.778,8167.0,652.392001241,12640.0,31320.0,1333.0,6000.0,15744.0,2425.159300562096,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0283
20131001,27.747945205479454,1772.748792471781,,0,1.778,5098.0,449.846998952,8325.0,34560.0,763.0,8760.0,10154.0,2222.595791423781,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0283
20131002,27.75068493150685,1772.7302856224658,,0,1.778,6476.0,553.666000918,10433.0,34980.0,1343.0,8040.0,12804.0,2326.3962865404656,0.0,0.0,,,,,,,,,,,,,,298.0,5462.0,26937.0,0.0,-663.0,1.0,8461.0,26761.0,18300.0,79.0,,73.0283
20131003,27.753424657534246,1772.7117787731509,,0,1.778,3346.0,307.713001952,5578.0,38520.0,615.0,7560.0,6733.0,2080.424780725151,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,73.0283
20131004,27.756164383561643,1772.6932719238357,,0,1.778,3682.0,345.997000277,6224.0,38340.0,783.0,6660.0,7483.0,2118.690272200836,0.0,0.0,,,,,,,,,,,,,,5339.0,4437.0,30171.0,1.0,2571.0,1.0,9780.0,24732.0,14952.0,75.0,,73.0283
20131005,27.75890410958904,1772.6747650745206,,0,1.778,6476.0,521.223001719,9976.0,36300.0,1087.0,11100.0,12503.0,2293.8977667935205,0.0,0.0,,,,,,,,,,,,,,-181.0,3092.0,21928.0,2.0,-1172.0,1.0,6760.0,20079.0,13319.0,60.0,,73.0283
20131006,27.76164383561644,1772.6562582252056,,0,1.778,2683.0,247.908998817,4467.0,40500.0,729.0,11820.0,5427.0,2020.5652570422058,0.0,0.0,,,,,,,,,,,,,,-121.0,2730.0,22528.0,1.0,-1772.0,1.0,9314.0,22453.0,13139.0,71.0,,73.0283
20131007,27.764383561643836,1772.6377513758905,,0,1.778,3384.0,264.451001137,5276.0,37320.0,603.0,7020.0,6583.0,2037.0887525128906,0.0,0.0,,,,,,,,,,,,,,4020.0,3651.0,19572.0,0.0,372.0,1.0,9479.0,15810.0,6331.0,59.0,,73.0283
20131008,27.767123287671232,1772.6192445265754,,0,1.778,3268.0,274.966999799,5139.0,36720.0,571.0,5160.0,6404.0,2047.5862443255753,0.0,0.0,55379.0,686.0,59160.0,1.0,54960.0,1.0,2317.0,3763.0,1446.0,10.0,,,,1079.0,1184.0,32356.0,0.0,-44.0,1.0,7380.0,31320.0,23940.0,85.0,,73.0283
20131009,27.76986301369863,1772.6007376772604,,0,1.778,4249.0,351.08800035,6669.0,35280.0,755.0,4920.0,8268.0,2123.6887380272606,0.0,0.0,,,,,,,,,,,,,,-601.0,2013.0,14307.0,0.0,-993.0,1.0,8040.0,15420.0,7380.0,51.0,,73.0283
20131010,27.77260273972603,1772.5822308279453,,0,1.778,3065.0,246.204001129,4678.0,34440.0,466.0,12660.0,5867.0,2018.7862319569454,0.0,0.0,,,,,,,,,,,,,,-8101.0,3718.0,10696.0,1.0,-9104.0,1.0,8866.0,17566.0,8700.0,60.0,,73.0283
20131011,27.775342465753425,1772.5637239786302,,0,1.778,5194.0,465.282000586,8548.0,30720.0,2060.0,7680.0,10392.0,2237.84572456463,0.0,0.0,,,,,,,,,,,,,,-10261.0,725.0,18767.0,0.0,-10933.0,1.0,10439.0,28988.0,18549.0,93.0,,73.0283
20131012,27.778082191780822,1772.5452171293152,,0,1.778,3674.0,325.887999848,5932.0,35460.0,757.0,6000.0,7259.0,2098.433216977315,0.0,0.0,,,,,,,,,,,,,,-5881.0,1271.0,23450.0,0.0,-7150.0,1.0,13980.0,29359.0,15379.0,100.0,,73.0283
20131013,27.78082191780822,1772.52671028,,0,1.778,2917.0,238.011999965,4650.0,37500.0,1037.0,7020.0,5751.0,2010.5387102450002,0.0,0.0,,,,,,,,,,,,,,2639.0,1906.0,35534.0,0.0,1034.0,1.0,14282.0,32820.0,18538.0,100.0,,73.0283
20131014,27.783561643835615,1772.508203430685,,0,1.778,6760.0,582.829999328,10780.0,34980.0,1452.0,8640.0,13235.0,2355.338202758685,0.0,0.0,,,,,,,,,,,,,,7259.0,737.0,38983.0,0.0,6583.0,1.0,11580.0,31920.0,20340.0,93.0,,73.0283
20131015,27.786301369863015,1772.48969658137,,0,1.778,3667.0,285.879999563,5600.0,37320.0,1093.0,14460.0,7019.0,2058.36969614437,0.0,0.0,73499.0,700.0,74602.0,0.0,72802.0,1.0,1146.0,1146.0,0.0,4.0,,,,,,,,,,,,,,,73.0283
